Kod;Proces;Warstwa;Grupa;Tory (role);Wlasciciel;Komorka;Aktywa AI;Systemy;Dane medyczne;BPMN;PNG;PDF
Z1.01;Stanowienie strategicznych decyzji właścicielskich;Zarządczy;Z1. Nadzór korporacyjny i strategia;Zarząd / Zgromadzenie Wspólników;ZW;Zgromadzenie Wspólników;;;Nie;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.01__Stanowienie-strategicznych-decyzji-wlascicielskich.bpmn;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.01__Stanowienie-strategicznych-decyzji-wlascicielskich.png;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.01__Stanowienie-strategicznych-decyzji-wlascicielskich.pdf
Z1.02;Zatwierdzanie sprawozdań finansowych i podziału wyniku;Zarządczy;Z1. Nadzór korporacyjny i strategia;Zarząd / Rada Nadzorcza / Zgromadzenie Wspólników;ZW;Zgromadzenie Wspólników;;;Nie;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.02__Zatwierdzanie-sprawozdan-finansowych-i-podzialu-wy.bpmn;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.02__Zatwierdzanie-sprawozdan-finansowych-i-podzialu-wy.png;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.02__Zatwierdzanie-sprawozdan-finansowych-i-podzialu-wy.pdf
Z1.03;Powoływanie i odwoływanie członków Rady Nadzorczej;Zarządczy;Z1. Nadzór korporacyjny i strategia;Zgromadzenie Wspólników / Dział Organizacyjno-Prawny;ZW;Zgromadzenie Wspólników;;;Nie;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.03__Powolywanie-i-odwolywanie-czlonkow-Rady-Nadzorczej.bpmn;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.03__Powolywanie-i-odwolywanie-czlonkow-Rady-Nadzorczej.png;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.03__Powolywanie-i-odwolywanie-czlonkow-Rady-Nadzorczej.pdf
Z1.04;Nadzór nad działalnością Spółki;Zarządczy;Z1. Nadzór korporacyjny i strategia;Zarząd / Rada Nadzorcza;RN;Rada Nadzorcza;;;Nie;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.04__Nadzor-nad-dzialalnoscia-Spolki.bpmn;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.04__Nadzor-nad-dzialalnoscia-Spolki.png;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.04__Nadzor-nad-dzialalnoscia-Spolki.pdf
Z1.05;Powoływanie i odwoływanie członków Zarządu;Zarządczy;Z1. Nadzór korporacyjny i strategia;Rada Nadzorcza / Dział Organizacyjno-Prawny;RN;Rada Nadzorcza;;;Nie;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.05__Powolywanie-i-odwolywanie-czlonkow-Zarzadu.bpmn;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.05__Powolywanie-i-odwolywanie-czlonkow-Zarzadu.png;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.05__Powolywanie-i-odwolywanie-czlonkow-Zarzadu.pdf
Z1.06;Opiniowanie sprawozdań i kluczowych decyzji strategicznych;Zarządczy;Z1. Nadzór korporacyjny i strategia;Zarząd / Rada Nadzorcza;RN;Rada Nadzorcza;;;Nie;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.06__Opiniowanie-sprawozdan-i-kluczowych-decyzji-strate.bpmn;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.06__Opiniowanie-sprawozdan-i-kluczowych-decyzji-strate.png;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.06__Opiniowanie-sprawozdan-i-kluczowych-decyzji-strate.pdf
Z1.07;Zarządzanie strategiczne i operacyjne Spółką;Zarządczy;Z1. Nadzór korporacyjny i strategia;Zarząd / Dyrektorzy pionów / Rada Nadzorcza;Zarząd;Z;;;Nie;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.07__Zarzadzanie-strategiczne-i-operacyjne-Spolka.bpmn;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.07__Zarzadzanie-strategiczne-i-operacyjne-Spolka.png;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.07__Zarzadzanie-strategiczne-i-operacyjne-Spolka.pdf
Z1.08;Planowanie strategiczne (strategia, plan rzeczowo-finansowy);Zarządczy;Z1. Nadzór korporacyjny i strategia;Zarząd / Dyrektorzy pionów / Rada Nadzorcza;Zarząd;Z;;;Nie;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.08__Planowanie-strategiczne-strategia-plan-rzeczowo-fi.bpmn;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.08__Planowanie-strategiczne-strategia-plan-rzeczowo-fi.png;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.08__Planowanie-strategiczne-strategia-plan-rzeczowo-fi.pdf
Z1.09;Reprezentacja Spółki na zewnątrz;Zarządczy;Z1. Nadzór korporacyjny i strategia;Zarząd / Dział Organizacyjno-Prawny;Zarząd;Z;;;Nie;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.09__Reprezentacja-Spolki-na-zewnatrz.bpmn;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.09__Reprezentacja-Spolki-na-zewnatrz.png;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.09__Reprezentacja-Spolki-na-zewnatrz.pdf
Z1.10;Sprawozdawczość korporacyjna (KRS, BIP);Zarządczy;Z1. Nadzór korporacyjny i strategia;Dział Organizacyjno-Prawny / Zarząd;Zarząd / K.DOP;Z, K.DOP;;;Nie;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.10__Sprawozdawczosc-korporacyjna-KRS-BIP.bpmn;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.10__Sprawozdawczosc-korporacyjna-KRS-BIP.png;1_Zarzadczy_Z/Z1_Nadzor-korporacyjny-i-strategia/Z1.10__Sprawozdawczosc-korporacyjna-KRS-BIP.pdf
