Rola (tor);SZBI?;Liczba procesów;Kody procesów
Zarząd;tak;42;G8.04, G9.04, W1.01, W1.02, W2.01, W6.01, W6.05, W7.05, W7.08, W8.01, W8.05, W9.04, Z1.01, Z1.02, Z1.04, Z1.06, Z1.07, Z1.08, Z1.09, Z1.10, Z1.11, Z2.01, Z2.03, Z2.04, Z2.05, Z2.06, Z2.08, Z2.09, Z3.01, Z3.02, Z3.03, Z3.04, Z4.01, Z4.03, Z4.04, Z4.08, Z5.01, Z5.02, Z5.03, Z6.01, Z6.02, Z6.03
Administratorzy IT;tak;21;G8.05, G8.06, W2.04, W3.07, W4.01, W4.02, W4.03, W4.04, W4.05, W4.06, W4.07, W4.09, W4.10, W4.11, W4.12, W4.14, W4.15, W9.04, Z2.09, Z3.03, Z4.05
Dział Finansowo-Księgowy;;17;G5.01, G5.08, G9.02, G9.05, W1.01, W1.03, W1.04, W1.05, W1.06, W1.07, W1.08, W1.09, W1.10, W2.05, W3.04, W3.06, W8.04
Dział Personalno-Płacowy;;17;G6.03, W2.01, W2.02, W2.03, W2.04, W2.05, W2.06, W2.07, W2.08, W2.09, W2.10, W2.11, W2.12, W2.13, W2.14, W7.03, Z5.03
Dział Techniczny;;16;G10.03, G2.06, G7.04, G7.05, W5.01, W5.02, W5.03, W5.04, W5.05, W5.06, W5.07, W5.08, W5.09, W5.10, W5.11, W7.06
Pielęgniarka;;15;G1.01, G2.04, G3.01, G3.03, G3.04, G3.05, G3.06, G3.11, G3.14, G3.21, G4.01, G4.02, G5.06, G6.01, G6.04
Dział Organizacyjno-Prawny;;14;W6.01, W6.02, W6.03, W6.04, W6.05, W6.06, W9.04, Z1.03, Z1.05, Z1.09, Z1.10, Z5.01, Z5.02, Z6.03
Dział Rozliczeń Świadczeń;;9;G1.07, G9.01, G9.02, G9.03, G9.04, G9.05, W1.03, W1.06, Z6.01
Dział Zamówień Publicznych;;9;G2.05, W3.01, W3.02, W3.03, W3.04, W3.05, W3.07, W7.04, W8.02
Lekarz;;9;G3.11, G3.14, G3.15, G3.23, G4.02, G4.04, G5.04, G5.06, G7.07
Pełnomocnik ds. SZBI;tak;9;W4.04, W4.06, W4.07, W4.13, W4.14, Z2.06, Z2.07, Z3.02, Z4.05
Sekcja Dokumentacji Medycznej;;8;G3.11, G3.12, G4.01, G8.02, G8.03, G8.04, G8.06, Z4.02
Komórka wnioskująca;;7;W2.02, W3.01, W3.02, W3.03, W3.04, W3.05, Z4.09
Rada Nadzorcza;;7;Z1.02, Z1.04, Z1.05, Z1.06, Z1.07, Z1.08, Z5.03
Dyrektor ds. Inwestycji i Rozwoju;;6;W8.01, W8.02, W8.03, W8.04, W8.05, W8.06
Lekarz rehabilitacji;;6;G1.05, G1.06, G3.07, G3.08, G3.20, G3.22
Pracownik;;6;W2.07, W2.08, W2.09, W2.10, W2.12, W7.03
Radca prawny;;6;W1.04, W2.13, W3.02, W3.05, W6.05, Z4.09
Diagnostyka;;5;G3.01, G3.03, G3.04, G3.05, G3.06
Lekarz POZ;;5;G1.09, G3.16, G3.17, G3.18, G3.19
Lekarz prowadzący;;5;G2.04, G3.01, G3.12, G4.01, G4.03
Lekarz zlecający;;5;G2.01, G2.02, G2.03, G2.07, G3.09
