Kod;Proces;Warstwa;Charakter;Grupa procesowa;[znane] Wlasciciel (tor);[znane] Komorka org. (basen);[znane] Aktywa AI;[znane] Systemy;[znane] RODO dane osobowe;[znane] RODO dane medyczne;[znane] Ref. model L3;Zdarzenie_startowe;Typ_startu (message/timer/signal/none);Kroki (1|2|3...);Role_per_krok (1|2|3...);Bramki_decyzje (po kroku N: pytanie -> tak:.. / nie:..);Wyjatki;Zdarzenia_koncowe (1|2..);Aktywa_per_krok (krok:AI-xx);Komunikaty_miedzyprocesowe;Znaczenie 1-5;Kondycja 1-5;Wykonalnosc 1-5;Uwagi
Z1.01;Stanowienie strategicznych decyzji właścicielskich;Zarządczy;Niemedyczny;Z1. Nadzór korporacyjny i strategia;ZW;Zgromadzenie Wspólników;;;Nie;Nie;;;;;;;;;;;;;;
Z1.02;Zatwierdzanie sprawozdań finansowych i podziału wyniku;Zarządczy;Niemedyczny;Z1. Nadzór korporacyjny i strategia;ZW;Zgromadzenie Wspólników;;;Nie;Nie;;;;;;;;;;;;;;
Z1.03;Powoływanie i odwoływanie członków Rady Nadzorczej;Zarządczy;Niemedyczny;Z1. Nadzór korporacyjny i strategia;ZW;Zgromadzenie Wspólników;;;Nie;Nie;;;;;;;;;;;;;;
Z1.04;Nadzór nad działalnością Spółki;Zarządczy;Niemedyczny;Z1. Nadzór korporacyjny i strategia;RN;Rada Nadzorcza;;;Nie;Nie;;;;;;;;;;;;;;
Z1.05;Powoływanie i odwoływanie członków Zarządu;Zarządczy;Niemedyczny;Z1. Nadzór korporacyjny i strategia;RN;Rada Nadzorcza;;;Nie;Nie;;;;;;;;;;;;;;
Z1.06;Opiniowanie sprawozdań i kluczowych decyzji strategicznych;Zarządczy;Niemedyczny;Z1. Nadzór korporacyjny i strategia;RN;Rada Nadzorcza;;;Nie;Nie;;;;;;;;;;;;;;
Z1.07;Zarządzanie strategiczne i operacyjne Spółką;Zarządczy;Niemedyczny;Z1. Nadzór korporacyjny i strategia;Zarząd;Z;;;Nie;Nie;;;;;;;;;;;;;;
Z1.08;Planowanie strategiczne (strategia, plan rzeczowo-finansowy);Zarządczy;Niemedyczny;Z1. Nadzór korporacyjny i strategia;Zarząd;Z;;;Nie;Nie;;;;;;;;;;;;;;
Z1.09;Reprezentacja Spółki na zewnątrz;Zarządczy;Niemedyczny;Z1. Nadzór korporacyjny i strategia;Zarząd;Z;;;Nie;Nie;;;;;;;;;;;;;;
Z1.10;Sprawozdawczość korporacyjna (KRS, BIP);Zarządczy;Niemedyczny;Z1. Nadzór korporacyjny i strategia;Zarząd / K.DOP;Z, K.DOP;;;Nie;Nie;;;;;;;;;;;;;;
