Typ;Kod;Nazwa;Kategoria/Typ;RODO;P;I;D;Wlasciciel;Systemy
AI;AI-01;Dokumentacja medyczna indywidualna wewnętrzna (historia choroby);Med. dokumentacja;Art.9 (zdrowie);W;W;W;DM.SDM / Oddziały;HIS: Ruch Chorych, ZDM/EDM
AI;AI-02;Karta zleceń lekarskich;Med. dokumentacja;Art.9 (zdrowie);W;W;W;Oddziały;HIS: Zlecenia Medyczne
AI;AI-03;Karta indywidualnej opieki pielęgniarskiej;Med. dokumentacja;Art.9 (zdrowie);Ś;W;W;DM.PP;HIS: Ruch Chorych
AI;AI-04;Karta obserwacji / gorączkowa;Med. dokumentacja;Art.9 (zdrowie);Ś;W;W;Oddziały;HIS: Ruch Chorych
AI;AI-05;Dokumentacja indywidualna zewnętrzna (karta informacyjna, epikryza, zaświadczenia);Med. dokumentacja;Art.9 (zdrowie);W;W;Ś;DM.SDM / Oddziały;HIS: ZDM/EDM, P1
AI;AI-06;Skierowania (przyjęcia, do pracowni, e-skierowanie);Med. dokumentacja;Art.9 (zdrowie);Ś;W;Ś;Rejestracja / Oddziały;HIS: Rejestracja, P1
AI;AI-07;Recepty / e-recepty i dane o farmakoterapii;Med. dokumentacja;Art.9 (zdrowie);W;W;W;Oddziały / Apteka;HIS: Apteczka Oddz., P1
AI;AI-08;Księga główna przyjęć i wypisów;Med. dokumentacja zbiorcza;Art.9 (zdrowie);W;W;W;DM.SDM;HIS: Ruch Chorych
AI;AI-09;Księgi oddziałowe / raportów pielęgniarskich;Med. dokumentacja zbiorcza;Art.9 (zdrowie);Ś;W;Ś;Oddziały / DM.PP;HIS: Ruch Chorych
AI;AI-10;Księgi pracowni / zabiegów (diagnostyka);Med. dokumentacja zbiorcza;Art.9 (zdrowie);Ś;W;Ś;Pracownie;HIS: Zlecenia / Pracownia
AI;AI-11;Dokumentacja porad ambulatoryjnych / rejestr wizyt AOS-POZ;Med. dokumentacja;Art.9 (zdrowie);W;W;Ś;Poradnie;HIS: Przychodnia (Gabinet)
AI;AI-12;Wyniki badań laboratoryjnych;Med. wyniki;Art.9 (zdrowie);W;W;W;Laboratorium zewn. / Oddziały;LIS (zewn.) / HIS: Zlecenia
AI;AI-13;Wyniki i obrazy diagnostyki obrazowej (RTG/TK/USG);Med. wyniki;Art.9 (zdrowie);W;W;W;Pracownie diagn.;RIS/PACS
AI;AI-14;Wyniki badań czynnościowych / endoskopowych / polisomnografii;Med. wyniki;Art.9 (zdrowie);W;W;Ś;Pracownie diagn.;HIS: Zlecenia / Pracownia
AI;AI-15;Zgody pacjenta (świadoma zgoda, zgody RODO);Med. dokumentacja;Art.9 (zdrowie);W;W;Ś;Oddziały / Poradnie;HIS: ZDM
AI;AI-16;Plan rehabilitacji indywidualnej (PRI) / plan terapii;Med. dokumentacja;Art.9 (zdrowie);Ś;W;Ś;Oddz./Ośrodki rehab.;HIS: Rehabilitacja
AI;AI-17;Rejestr zakażeń szpitalnych i drobnoustrojów alarmowych;Med. epidemiologia;Art.9 (zdrowie);W;W;Ś;DM.DHiE;HIS: Zakażenia
AI;AI-18;Listy oczekujących (kolejki);Med./rozliczenia;Art.9 (zdrowie);Ś;W;Ś;DM.DRZ / Rejestracja;HIS: Kolejki
AI;AI-19;Dokumentacja transportu medycznego;Med. dokumentacja;Art.9 (zdrowie);Ś;Ś;Ś;Zespół Transportu;HIS / dok. zlecenia
AI;AI-20;Dokumentacja zgonu (karta zgonu, protokoły);Med. dokumentacja;Art.9 (zdrowie);W;W;Ś;Oddziały / IP;HIS: Ruch Chorych
AI;AI-21;Dane identyfikacyjne i kontaktowe pacjenta;Dane osobowe;Art.9 (zdrowie);W;W;W;DM.SDM / Rejestracja;HIS: Ruch Chorych / Przychodnia
AI;AI-22;Dane o uprawnieniach do świadczeń (eWUŚ);Dane osobowe;Zwykłe;Ś;W;Ś;DM.DRZ;HIS + eWUŚ
AI;AI-23;Akta osobowe pracowników;Dane osobowe;Zwykłe;W;W;Ś;K.DPP;ERP: Kadry-Płace
AI;AI-24;Dane płacowe i wynagrodzeń;Dane osobowe;Zwykłe;W;W;Ś;K.DPP;ERP: Płace
AI;AI-25;Dane medycyny pracy pracowników;Dane osobowe;Art.9 (zdrowie);W;W;N;K.DPP;ERP / dok. zewn.
AI;AI-26;Dane kontrahentów i dostawców;Dane osobowe;Zwykłe;Ś;Ś;Ś;DZP / K.DFK;ERP: Rejestr Zakupów
AI;AI-27;Dane rozliczeniowe NFZ (świadczenia, JGP, komunikaty);Rozliczenia;Art.9 (zdrowie);W;W;W;DM.DRZ;HIS: Rozliczenia
AI;AI-28;Umowa z NFZ i aneksy;Rozliczenia / prawne;Zwykłe;Ś;W;Ś;Zarząd / DM.DRZ;ERP / repozytorium umów
AI;AI-29;Sprawozdawczość statystyczna (MZ-29, MZ-11, karty stat.);Rozliczenia / statystyka;Zwykłe;N;W;Ś;DM.DRZ;HIS: Statystyka
AI;AI-30;Dane finansowo-księgowe (księgi, faktury);Finanse;Zwykłe;Ś;W;Ś;K.DFK;ERP: FK / Rejestr Sprzedaży
AI;AI-31;Rachunek kosztów świadczeń;Finanse;Zwykłe;Ś;W;N;K.DFK;ERP: Koszty
AI;AI-32;Dokumentacja systemów zarządzania (ISO 9001/14001);Zarządcze / zgodność;Zwykłe;N;W;Ś;PZSZ;Repozytorium dokumentów
AI;AI-33;Dokumentacja akredytacyjna CMJ;Zarządcze / zgodność;Zwykłe;Ś;W;Ś;PA;Repozytorium dokumentów
AI;AI-34;Dokumentacja SZBI (polityki, analiza ryzyka, SoA);Bezpieczeństwo;Poufne (wewn.);W;W;Ś;PBI;Repozytorium SZBI
AI;AI-35;Rejestry RODO (czynności, naruszenia) i DPIA;Bezpieczeństwo / RODO;Poufne (wewn.);W;W;Ś;IOD;Rejestr RODO
AI;AI-36;Rejestr incydentów cyber / dokumentacja KSC;Bezpieczeństwo;Poufne (wewn.);W;W;W;PBI / DI.DI;System zgłoszeń / SIEM
AI;AI-37;Dokumentacja korporacyjna (uchwały ZW/RN/Zarządu, KRS);Korporacyjne;Zwykłe;Ś;W;Ś;K.DOP / Zarząd;Repozytorium / KRS
AI;AI-38;Umowy z dostawcami (CLM);Prawne;Zwykłe;Ś;W;Ś;DZP / RP;ERP / repozytorium umów
AI;AI-39;Informacje niejawne (jeśli prowadzone);Niejawne;Niejawne;W;W;Ś;PIN;Kancelaria tajna
AI;AI-40;Dokumentacja BHP i powypadkowa;BHP;Zwykłe;Ś;W;N;BHP;Rejestry BHP
AI;AI-41;Dokumentacja P-POŻ (plany ewakuacji, IBP);Bezpieczeństwo obiektów;Brak DO;Ś;W;W;P-POŻ;Repozytorium / dok. tech.
AI;AI-42;Dokumentacja obronna (OC / MOB);Obronne;Niejawne;W;W;Ś;OBR;Kancelaria / repozytorium
AI;AI-43;Ewidencja odpadów medycznych (BDO/KEO);Środowisko;Brak DO;N;W;Ś;DI.DT;BDO
AI;AI-44;Dokumentacja techniczna obiektów (książka obiektu, przeglądy);Infrastruktura;Brak DO;N;W;Ś;DI.DT;Dok. techniczna
AI;AI-45;Ewidencja / paszporty aparatury medycznej (wyroby med.);Infrastruktura;Brak DO;N;W;Ś;DI.DT;Ewidencja sprzętu
AI;AI-46;Skargi, wnioski, sprawy praw pacjenta;Prawa pacjenta;Art.9 (zdrowie);W;W;Ś;PPP;Rejestr skarg
AI;AI-47;Dokumentacja dostępności (deklaracja, audyt WCAG);Dostępność;Brak DO;N;Ś;Ś;PD;WWW/BIP
AI;AI-48;Dane konfiguracyjne systemów HIS/ERP;IT / techniczne;Poufne (wewn.);W;W;W;DI.DI;HIS / ERP
AI;AI-49;Konta i uprawnienia użytkowników (IAM);IT / techniczne;Poufne (wewn.);W;W;W;DI.DI / ABS;AD / HIS
AI;AI-50;Kopie zapasowe;IT / techniczne;Poufne (wewn.);W;W;W;DI.DI;System backup
AI;AI-51;Logi systemowe i bezpieczeństwa;IT / techniczne;Poufne (wewn.);W;W;Ś;DI.DI / ABS;SIEM / logi
AI;AI-52;Dane uwierzytelniające (hasła, klucze, certyfikaty);IT / techniczne;Poufne (wewn.);W;W;W;DI.DI / ABS;PKI / sejf haseł
AI;AI-53;Treści generowane przez AI (wstępne opisy lekarskie);Med. dokumentacja;Art.9 (zdrowie);W;W;Ś;Oddziały / Lekarze;HIS + platforma AI
AI;AI-54;Badania obrazowe i wyniki analiz AI przekazywane do PUI;Med. wyniki;Art.9 (pseudonim. przy wysyłce);W;W;Ś;Pracownie diagn.;RIS/PACS + integracja PUI
AI;AI-55;Powiadomienia i potwierdzenia pacjenta (e-powiadomienia);Dane osobowe / operacyjne;Zwykłe (kontekst zdrowotny);Ś;Ś;Ś;Rejestracja;System powiadomień
AI;AI-56;Dane z interakcji głosowych pacjenta (voicebot);Dane osobowe;Zwykłe / art.9 (kontekst);Ś;Ś;N;Rejestracja / DI.DI;Platforma AI (voicebot)
AI;AI-57;Rozszerzona EDM - dokumenty ustawowe (onkolog., kardiolog., histopat., cytolog., patient summary, med. pracy);Med. dokumentacja;Art.9 (zdrowie);W;W;Ś;Oddziały / Poradnie;HIS (EDM) + P1
AI;AI-58;Dane pseudonimizowane/zanonimizowane do AI i wtórnego wykorzystania (EHDS, DGA);Med. / wtórne wykorzystanie;Pseudonimizowane;W;W;N;IOD / DI.DI;Repozytorium + PUI
